"denominazione_regione","lat","ricoverati_con_sintomi","terapia_intensiva","isolamento_domiciliare","dimessi_guariti","deceduti","code","total","r","lon","center_x","center_y","index","x","y","vy","vx"
"Abruzzo","42.216666666667","341","75","835","113","133","13","1497",28.87447537217345,"13.833333333333",458.124498303482,481.1420501172729,0,458.1244983021668,481.1420501159834,1.004253044875024e-12,1.024274786134931e-12
"Basilicata","40.5","38","19","176","3","10","17","246",23.597487900176898,"16.5",631.7883003522712,615.6439377639663,1,632.1330473635406,624.459409776733,1.3250817110233015e-12,-3.9375340553197967e-13
"Calabria","39","163","19","445","23","41","18","691",26.029354399777347,"16.5",638.5478900533218,733.5385737316155,2,638.5478900516177,733.538573729611,1.561100179731305e-12,1.3271193677847367e-12
"Campania","40.75","503","120","1517","149","167","15","2456",31.367002868335796,"14.783333333333",523.3260209727315,596.0262438126024,3,523.3260209714305,596.0262438110103,1.239869471541262e-12,1.0132231613015096e-12
"Emilia-Romagna","44.75","3944","366","7549","1663","1811","08","15333",48.40176673264101,"11",273.7755526126515,283.67879560051733,4,283.1767219422617,294.00012589237656,-0.000002817656662168006,0.0000013462466564039519
"Friuli Venezia Giulia","46.1","199","60","1035","376","129","06","1799",29.7285333051473,"13.116666666667",397.94445344900134,179.05170714910764,5,397.9444534477226,179.0517071485284,4.5109907209778e-13,9.9588697656194e-13
"Lazio","41.9","1169","181","1529","369","185","12","3433",33.4390537235017,"12.716666666667",389.96527268662,505.9151039834651,6,389.96527268561294,505.9151039821138,1.0523705744350754e-12,7.842650692450391e-13
"Liguria","44.45","1120","172","1368","634","488","07","3782",34.10563203897135,"8.7666666666667",137.64188625782947,306.98980046466886,7,137.66288968712718,307.01402811601895,0.00003097992069158713,0.00002685585207249587
"Lombardia","45.65","11762","1351","12763","12229","7960","03","46065",69.22858197052078,"9.95",206.55634157536247,213.87614012509903,8,201.87890257003068,208.98496968333092,1.0319769163770822e-7,1.9539739672244302e-7
"Marche","43.316666666667","986","164","2405","40","503","11","4098",34.68310029739749,"13",402.13851075247965,395.2363069295466,9,409.21850139687405,388.0176305717689,-3.816119737917734e-11,-3.88241993241889e-11
"Molise","41.6997","30","8","95","21","11","14","165",22.946278254943948,"14.6111",508.6091735149422,521.5939880792921,10,508.6091735135676,521.593988077823,1.1440755064098033e-12,1.070509253588581e-12
"Piemonte","45.25","3341","453","5005","571","983","01","10353",43.338067701513,"7.9166666666667",83.45401674780715,244.87483380474941,11,86.93680997501453,248.4991210568142,-0.0000143980348025569,-0.000011968249333889433
"Puglia","41.008611111111","645","118","1101","69","144","16","2077",30.453218697835666,"16.512777777778",630.2278965217012,575.7430948182009,12,630.0208987562128,570.4499873394859,1.1876377485620092e-12,2.5007822879565337e-12
"Sardegna","40.05","117","24","577","36","40","20","794",26.463117322305507,"9.0833333333333",168.79296369929818,650.9794213715627,13,168.79296369894138,650.9794213698026,1.3707261603367092e-12,2.7788075030630507e-13
"Sicilia","37.599958333333","503","73","1030","92","93","19","1791",29.706878223635282,"14.015377777778",487.1812958869277,843.8301353652855,14,487.1812958855688,843.8301353631132,1.6917817788391162e-12,1.0583518875666837e-12
"Toscana","43.35","1135","295","3359","216","268","09","5273",36.65561502270366,"11.016666666667",279.53323598135603,392.63687654875775,15,279.5332359806604,392.63687654730387,1.1322515148640986e-12,5.417836437457655e-13
"Umbria","42.983333333333","171","47","667","205","38","10","1128",27.703468981143125,"12.566666666667",376.6313230409835,421.24314034713734,16,365.5344606790204,432.5573725210332,6.176811926522641e-11,6.304631764569856e-11
"Valle d'Aosta","45.716666666667","85","25","446","49","63","02","668",25.928161404946533,"7.3666666666667",48.718865504655696,208.71364194412718,17,38.952289188323064,198.54618060782647,-0.000013377732545247038,-0.000013030406434766731
"Veneto","45.733333333333","1670","345","6563","1001","532","05","10111",43.063692734662474,"11.85",322.21166739327714,207.4231961704986,18,326.01171760614545,213.18460178514079,0.000002934408563191101,-0.0000028918436102389616
"Trentino-Alto Adige","46.383333333333",618,138,1991,419,316,"04",3482,33.534623265389655,"11.416666666667",293.3773299582052,157.1527252669871,19,287.4600010184718,146.99497146295582,5.910024286922763e-7,0.000001131561510597963