date,file_name
2020-02-24,2020-02-24T18-00-00.csv
2020-02-25,2020-02-25T18-00-00.csv
2020-02-26,2020-02-26T18-00-00.csv
2020-02-27,2020-02-27T18-00-00.csv
2020-02-28,2020-02-28T18-00-00.csv
2020-02-29,2020-02-29T17-00-00.csv
2020-03-01,2020-03-01T17-00-00.csv
2020-03-02,2020-03-02T18-00-00.csv
2020-03-03,2020-03-03T18-00-00.csv
2020-03-04,2020-03-04T17-00-00.csv
2020-03-05,2020-03-05T17-00-00.csv
2020-03-06,2020-03-06T17-00-00.csv
2020-03-07,2020-03-07T18-00-00.csv
2020-03-08,2020-03-08T18-00-00.csv
2020-03-09,2020-03-09T18-00-00.csv
2020-03-10,2020-03-10T18-00-00.csv
2020-03-11,2020-03-11T17-00-00.csv
2020-03-12,2020-03-12T17-00-00.csv
2020-03-13,2020-03-13T17-00-00.csv
2020-03-14,2020-03-14T17-00-00.csv
2020-03-15,2020-03-15T17-00-00.csv
2020-03-16,2020-03-16T17-00-00.csv
2020-03-17,2020-03-17T17-00-00.csv
2020-03-18,2020-03-18T17-00-00.csv
2020-03-19,2020-03-19T17-00-00.csv
2020-03-20,2020-03-20T17-00-00.csv
2020-03-21,2020-03-21T17-00-00.csv
2020-03-22,2020-03-22T17-00-00.csv
2020-03-23,2020-03-23T17-00-00.csv
2020-03-24,2020-03-24T17-00-00.csv
2020-03-25,2020-03-25T17-00-00.csv
2020-03-26,2020-03-26T17-00-00.csv